Article_Headline,Statement_Filipino,Statement_English,Rating,Statement_Filipino_Language,Statement_English_Language
vera files fact check: vlogger makes false claim that angat buhay grabbed credit for ifugao relief efforts,"“Pwede naman magtayo ng NGO, pero ‘wag naman po tayo makipagsapawan sa gobyerno kasi meron naman tayong gobyernong gumagalaw. ‘Wag po nating palabasin na ang gobyerno po ay hindi gumagalaw at kayo lang, dahil hindi po totoo ‘yan. Pwedeng tumulong, pero ‘wag po tayong mag-angat ng bangko dahil hindi lang naman kayo ang kumikilos.”
.
Source: For the Motherland – Sass Rogando Sasot Facebook page, Angat Buhay DSWD Issue, July 10, 2022","You can put up an NGO, but don’t overshadow the government because we have a government that functions. Don’t make it look like the government is not working, and only you are because that’s not true. You can help, but don’t blow your own horn because you’re not the only one moving",Fake,TAGALOG,ENGLISH
vera files fact check: sen. robin padilla spreads misleading photo of duterte retirement at davao home,,“LOOK! FORMER PRESIDENT DUTERTE SEEN OUTSIDE THEIR HOUSE IN DAVAO! Former President Duterte is seen outside [sic] their house in Davao like a normal citizen. People are amazed of how humble our former President is. He is outside to breath [sic] some fresh air. Enjoy your retirement FPRRD! Salamat sa 6 years !”,Fake,ENGLISH,ENGLISH
vera files fact check: legislator’s justification for renaming naia misleading,"“Let’s give credit where credit is due. Totoo naman na ang nagpaganda niyan… pinaganda ‘yan noong panahon ni ano. Nagkamali ako nang sinabi ko na sila ang nagpagawa. Pagawa, still the same. Pag nagpaganda niyan, naging ganyan ‘yan sa panahon nila president Ferdinand Marcos [Sr].”

Source: One News PH official Youtube channel, Teves defends bill to rename NAIA to Ferdinand E. Marcos Int’l Airport, July 6, 2022, watch from 0:15 to 0:32","Let’s give credit where credit is due. It’s true that it was improved during the time of [Ferdinand Marcos Sr]. I was wrong to say that they constructed it. Improve, still the same. If it’s improved, it became like that during the time of president Ferdinand Marcos [Sr].",Fake,TAGALOG,ENGLISH
vera files fact check: marcos jr.’s statement that getting covid-19 is ‘like having flu’ needs context,,"“In fact, the general experience has been… people are down maybe for two, maybe three days, and that’s like [the] flu. It’s like having [the] flu.”
Source: RTVMalacañang, Press Briefing of President Ferdinand R. Marcos Jr., July 5, 2022, watch from 19:24 – 19:35",Fake,None,ENGLISH
vera files fact check: marcos jr’s ‘biggest electoral mandate’ statement needs context,,"“This is a historic moment for us all. I feel it deep within me. You, the people, have spoken, and it is resounding. When my call for unity started to resonate with you, it did so because it echoed your yearnings, mirrored your sentiments, and expressed your hopes for family, for country, and for a better future. That is why it reverberated and amplified as it did, to deliver the biggest electoral mandate in the history of Philippine democracy.”
Source: Presidential Communications Operations Office, Speech of President Ferdinand “Bongbong” Romualdez Marcos Jr. during his Inauguration , June 30, 2022, watch from 2:24 to 3:01",Fake,ENGLISH,ENGLISH
vera files fact check: galvez claim that ph hit vaxx target needs context,"“Tulad ng aming ipinangako, naabot na natin ang target na 70 million fully vaccinated individuals. Nagpapasalamat ang NTF sa lahat ng ating health workers, volunteers, at mga kababayang nagtulong-tulong para mas marami tayong mabakunahan at maprotektahan laban sa COVID-19.
","As we promised, we have reached our target of 70 million fully vaccinated individuals. The NTF is grateful to all our health workers, volunteers, and the citizens who all helped get more people vaccinated and protected against COVID-19.",Fake,TAGALOG,ENGLISH
"vera files fact check: marcos jr. falsely claims vietnam, thailand currently ban rice exports",,"“First of all will be to try to increase production as we come into the harvest period during, before, and after the rainy seasons. Hopefully, we can counteract some of the increases in prices. You may have noted that Thailand and Vietnam, for example, one of our main sources of imported rice, have decided to ban their rice exports, at least for now. So, we have to compensate for that by increasing production here in the Philippines.”
Source: ABS-CBN News Channel, FULL PRESS BRIEFING: President-elect Bongbong Marcos discusses economic priorities, June 6, 2022, watch from 5:40 to 6:22",Fake,None,ENGLISH
"vera files fact check: duterte admits using ‘presidential powers’ vs abs-cbn franchise renewal, contradicting previous neutral stance",,"“ABS-CBN never paid taxes … Ana kawatan ng ABS-CBN kaya tinira ko talaga sila . I used the presidential powers to tell Congress that you are dealing with scoundrels. And if you continue to kowtow [to] them, kawawa ang Pilipino .”
Source: GMA News official YouTube channel, LIVESTREAM: Pres. Duterte leads oath-taking of local officials and House members in Davao City, June 27, 2022, watch from 18:10 to 19:40",Real,ENGLISH,ENGLISH
"vera files fact check: badoy misleads with claim sc ruled no danger to life, liberty, security for people tagged as cpp-npa-ndf members","“Kung wala ka namang ebidensya to support anything except to suspect na ito ay fronts ng, let’s say, communist terrorist groups, eh ‘wag ka na lang magsalita dahil you’re endangering certain people, ‘no, kung wala ka namang sufficient evidence. Baka mamaya target naman ‘yung mga tao na ‘yon na who are just vocal about their own political views; baka ma-endanger naman ‘yung mga tao na ‘yon.”

Source: Kapihan sa Manila Bay with Marichu Villanueva, Kapihan sa Manila Bay with Justice Secretary Menardo Guevarra, June 15, 2022, watch from 1:13:28 to 1:13:55","If you have no evidence to support anything, except to suspect that these are fronts of, let’s say, communist terrorist groups, then just don’t speak because you’re endangering certain people if you don’t have sufficient evidence. Maybe later these persons will be targeted when they are just vocal about their political views; maybe they will be endangered.",Fake,TAGALOG,ENGLISH
vera files fact check: president’s claim that two ‘dutertes’ will hold the country’s top govt posts for 11 days misleading,,"“Bilib ako sa iyong liderato, puro Garcia . Sa amin man rin . You know there is a queer coincidence in our history. Maybe it would be the first time; I don’t know. I have yet to look into the archives of our country; but si Inday [Sara] … would swear sa  loyalty niya sa  Constitution and to the country ngayong  [June] 19.”",Fake,ENGLISH,ENGLISH
vera files fact check: duterte understates his salary for the nth time,"“Ngayon, dinoble ko na iyong suweldo nila. Ang suweldo nila maliit eh, hindi magkasya sa dalawang asawa. Alam ko iyan, huwag ninyo akong lokohin. L****. Kasi ako, ang suweldo ko, it’s about 196[,000], 200[,000] iyan eh plus, salary of a president, 190[,000], hatiin ko pa iyan para sa dalawang pamilya.”

Source: Presidential Communications Operations Office official website, Groundbreaking Ceremony of the Philippine Sports Training Center 6/17/2022 , June 17, 2022, watch from 16:43 to 17:10","Now, I have doubled the salary [of police officers]. Their salary was low, not enough for  two wives. I know that. Don’t fool me. Because I have around P1960[,000] P2000[,000] plus, salary of a president, P1900[,000], I need to divide it  between my two families.",Real,TAGALOG,ENGLISH
vera files fact check: duterte’s claim on ph non-membership in icc lacks context,"“Kayong mga human rights, huwag ninyong isali ‘yang mga pulis. Nagtutupad lang ‘yan sa utos ko. Ako ang ihuli ninyo , do not involve the police. They are just following my orders. Arrest me instead).
And itong  ICC, International Criminal Court, hindi tayo  member. I am a Filipino. If I will be charged criminally, it should be before a Filipino court. And if there’s somebody who will judge me, it will be a Filipino judge. And if somebody will prosecute me, it must be a Filipino prosecutor. The courts are there. There is no failure of justice.”
Source: Presidential Communications Operations Office official website, Lowering of the Tunnel Boring Machine and Inspection of the Subway Depot , June 12, 2022, watch from  17:18 to 18:09",,Real,ENGLISH,ENGLISH
vera files fact check: escudero inaccurately cites car as one of the two poorest regions in ph,"“May mga nagsusulong ng pederalismo sa ating bansa, samantala ang awtonomiya ni hindi pa nga lubusang naibibigay talaga sa mga lokal na pamahalaan. .
Question: … Is this enough for you to actually push for federalism or that’s jumping way ahead?
Escudero: That’s jumping way, way ahead … l’ll try to answer briefly without being, say, that I’m opposed to it. Our closest experiment to federalism is CAR — Cordillera [Administrative] Region and BARMM [Bangsamoro Autonomous Region in Muslim Mindanao]. These are the two autonomous regions found in our Constitution. Cordillera hasn’t even been implemented yet. It lost in two or three plebiscites. BARMM, up to last term, we were still trying to perfect it. If we haven’t even perfected autonomy or the closest to federalism in these two regions, [which] remain to be the poorest regions in our country, why will we experiment on it in all of the regions of the country?”
Source: ABS-CBN News official YouTube channel, Dateline Philippines | ANC , June 6, 2022, watch from 21:56 to 22:55",,Fake,ENGLISH,ENGLISH
vera files fact check: imee marcos falsely claims no child went hungry during her father’s rule because of nutribun,"“Walang nagugutom na bata noon kay Nutribun ang sagana. Hindi mo pa maubos. At saka kakainin mo, andyan parang semento sa tiyan; may kasama pang tagaktak ng Klim  gatas. Ang mga lolas and mommies talagang fully charged hanggang ngayon dahil powered by Nutribun.”

Source: Edna Gatchalian Encena personal Facebook account, IMEE MARCOS IS IN BUHANGIN DAVAO CITY , June 6, 2022, watch from 8:18 to 8:49",na,Fake,TAGALOG,TAGALOG
vera files fact check: imee marcos’ claim that china has ‘never attempted to take over’ ph needs context,,"“But at the same time, it is very clear, China is our No. 1 trade partner. And despite certain anti-Chinese elements, I would have to remind everyone that China never conquered us; never invaded the Philippines; never attempted, in any way, to take us over. So dapat  friendly socio-cultural ties and the exploitation of trade and commerce.”
Source: ABS-CBN News Channel 24/7, Headstart: One-on-One with PH Senator Imee Marcos | ANC, June 1, 2022, watch from 30:35 to 31:06",Fake,ENGLISH,ENGLISH
"vera files fact check: for the nth time, badoy makes baseless claims on robredo, partylists’ ‘ties’ with cpp-npa-ndf",,"“We attribute these votes to the treachery of Leni Robredo who colluded with the CPP NPA NDF…”
Source: NTF-ELCAC Official Facebook Page, READ | Statement on CPP-NPA-NDF Partylists Groups , May 22, 2022",Real,ENGLISH,ENGLISH
vera files fact check: marcoses don’t own gma stocks,,"“Dear Imee – I hope the presentation is clear enough. The political aspects intentionally  excluded which I believe should be discussed with you personally — with some other  options in mind. Regards. Sincerely, Bibit.”",Real,None,ENGLISH
